city_name;production;type_production;consumption;latitude;longitude
Riestadt;303;9;209;51.506023;11.433035
Rostock;0;;30;54.092442;12.099147
Rothenberg;;;;51.332993;14.966615
Rotterdam;0;;0;51.924419;4.477733
Saarbrücken;10406;2;2498;49.234779;6.994400
Sandersleben;;;;51.676151;11.567429
Sangerhausen;;;;51.471354;11.294434
Schlewig;0;;0;54.514960;9.566770
Schneidemühl;;;;53.148047;16.741346
Schweidnitz;;;100;50.840658;16.486099
Schweinfurt;;;;50.049099;10.231160
Schwiebus;120;9;120;52.246569;15.533408
Siegen;0;;800;50.873798;8.023410
Sommerfeld;66;9;166;51.785317;14.970766
Sorau;516;9;500;51.638750;15.140870
Spremberg;349;9;349;51.571543;14.374888
Stargard;;;;53.336111;15.035098
Stendal;0;;0;52.604070;11.859322
Stettin;0;;750;53.428543;14.552812
Stralsund;0;;0;54.313992;13.085800
Strassburg;0;;250;48.582951;7.743750
Stuttgart;;;;48.777110;9.180770
Sylt;0;;0;54.954159;8.342370
Tharandt;1085;6;495;50.984060;13.582880
Thorn;;;;53.018997;18.624345
Tönning;0;;0;54.318451;8.937300
Toul;;;;48.678295;5.890159
Trier;0;;250;49.749992;6.637143
Utrecht;0;;0;52.090736;5.121420
Verdun;;;;49.159878;5.384423
Verviers;0;;0;50.592369;5.861250
Viersen;;;;51.255700;6.398340
Visleben;812;9;768;51.520611;11.546671
Waldenburg;5038;3;1352;50.765356;16.279976
Warburg;0;;0;51.485130;9.147030
Weimar;0;;100;50.979118;11.324480
Weissenfels;3761;9;3145;51.199830;11.966820
Wesselburen;0;;0;54.212070;8.920670
Wiesmar;0;;0;53.888210;11.462020
Wildenschwert;;;;49.973610;16.394300
Wilhelmsbrück;;;;51.294151;18.147940
Wittenberg;100;9;100;51.866162;12.645255
Wittenberge;;;100;52.992553;11.755924
Wunsiedel;;;;50.038719;12.005010
Wurzburg;;;;49.794260;9.927490
Wyk;0;;0;54.691130;8.567170
Zawadzkie;;;150;50.603040;18.486590
Zeitz;351;9;324;51.045510;12.142200
Zielenzig;131;9;131;52.440755;15.114926
Zittau;;;;50.896053;14.806552
Zwickau;6331;6;1563;50.718319;12.494156
